year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People�s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1995,619000,,9000,,,22858871.13,2315000,2289000,12000,34000,220000,3726000,17173000,,34000,5560000,138000,124000,156000,3466000,2311000,1598000,,160600,131000,387000,284000,1991000,442000,,4800,521000,26000,16932000,43893062.59,6946000,,1540000,20034000,,,35000,,1399000,23000,28000,785000,4485000,742000,224000,361000,2100000,3381000,14847000,21000,60000,,1776000,520000,43613160.98,70151407.97,77683073.37,32582761.16,300292168.9,440000,2871000,196847000,315000,32971000,530000,103000,263195024.1,5342337.001,1779000,318000,60033000,,,125000,21719000,,286000,,,45000,,,10130000,108000,,,1362000,106000,385725619.7,,271000,4771357.463,1485000,145000,,154069801.8,167773399.6,12117223.76,5081939.552,4324000,6882344.925,,2124000,,4818000,568000,61000,190000,2215000,31052000,1147000,1075000,3345000,,918000,36000,220000,3900,79000,3753000,1443000,35334005.66,60000,450000,,56000,231000,47436101.59,4413950.689,4121855.212,,403000,30605213.99,143305438.4,209000,110215907.1,650000,768000,539000,4202000,,2602000,233000,,75000,315000,25737858.96,20241000,5500,137514051.2,147000,42000,1116000,194000,13655507.05,,,669000,,,422000,192000,7469000,60637000,272000,86000,35000,1031000,281000,6574000,2880000,363000,,,363186837.2,,10174805.81,378000,345000,479000,1760000,53000,42000,19215000,5288485,3131000,,4572000,438000,,544155.6597,333271459.9,172000,,5445000,10290000,,3809176.53,3325000,29000,,6070000,11800,13800,235000,28000,,,13590711.79,,13722262.82,15449513.43,6200,43000,903000,732000,2310000,300000,460000,121000,815000,79000,,43099283.8,53974139.31,53000,6952000,,218000,39084792.83,,13443449.2,29000,3809176.53,13722262.82,260000,4120000,7083000,900,285000,160000,3716000,107166975.5,2022000,43318000,92000,60000,700000,219000,454000,1351000,44000,532953051.7,68000,,61000,4488000,163000,1416000
1996,641000,,21000,,,23733141.06,2572000,2614000,13000,35000,228000,4165000,17090000,,27000,5829000,143000,131000,166000,2795000,1988000,1633000,,234000,133000,390000,313000,2666000,447000,,5200,512000,21000,17286000,46768465.17,6730000,,1450000,22765000,,,37000,,631000,24000,37000,781000,4563000,999000,214000,373000,1950000,4558000,15205000,20000,63000,2125000,1926000,605000,48046103.66,76746951.04,84241867.05,39146361.7,317938934.9,494000,3528000,203603000,417000,34027000,665000,109000,273488812.2,6330472.022,1724000,340000,62406000,,17600,145000,22936000,,305000,,12000,77000,,,9233000,108000,,,1373000,92000,402070801.3,,263000,5445913.596,2914000,150000,,169501391.1,185112882.4,13937652.29,5664810.449,5034000,8120673.302,,2288000,,5289000,693000,51000,201000,2100000,34080000,1162000,1106000,3837000,202000,947000,42000,260000,4200,84000,3684000,1565000,37502429.6,93000,424000,,88000,236000,49522125.48,5650490.339,4609639.96,,302000,34030809.15,159237316.8,312000,119738719.7,832000,724000,565000,4690000,,2693000,226000,,83000,339000,26484279.63,21395000,6200,152779537.7,136000,98000,1054000,490000,14458103.8,,,728000,,,487000,194000,7138000,64165000,461000,91000,68000,1230000,303000,6580000,2746000,394000,,,379163245.1,,10258658.95,369000,362000,584000,2049000,69000,61000,19410000,6168000.565,3065000,,4567000,426000,220000,587557.7026,348451448,164000,,5205000,16208000,,3930661.566,,38000,,6048000,10300,21900,283000,30000,,,15492522.27,,15634583.14,15666145.43,6400,53000,951000,832000,2376000,315000,365000,131000,830000,88000,,47493112.06,62171723.89,58000,7244000,700,217000,41063341.23,,14233582.34,27000,3930661.566,15634583.14,266000,3885000,7966000,1000,315000,174000,3854000,119035645.5,2152000,46489000,173000,58000,759000,244000,373000,1607000,46000,565594074.2,73000,,74000,4915000,264000,1597000
1997,650000,,45000,,,25708996.4,2476000,2764000,23000,26000,240000,4318000,16647000,,11000,6037000,148000,138000,182000,2980000,2600000,1618000,115000,253500,146000,380000,355000,2850000,472000,,5400,607000,17000,17669000,49474797.45,7039000,,1644000,23770000,,,30000,,639000,26000,45000,811000,4706000,1153000,205000,381000,2088000,4976000,15837000,20000,65000,2158000,2211000,635000,48695368.47,79110935.1,84698870.67,46682673.26,342541303.3,529000,3656000,217627000,410000,39553000,730000,139000,290220746.7,6126748.323,1832000,359000,66591000,,17200,167000,23215000,,325000,,17000,85000,,,10070000,111000,,,1382000,76000,422341284.7,,307000,5874977.643,4178000,149000,,178896809.5,195865993.2,15267554.49,6349710.889,5185000,8732917.666,,2374000,,5587000,860000,15000,202000,2010000,34692000,1192000,1132000,4218000,284000,928000,87000,219000,5100,88000,3908000,1638000,36674112.21,193000,558000,,50000,248000,49500672.74,6030555.393,4847194.923,,366000,40318779.67,168242405.4,313000,123772535.2,1012000,778000,635000,3836000,,3072000,259000,,101000,366000,28491791.63,19351000,6400,161437088.2,121000,75000,1111000,491000,15703878.37,,,685000,,,536000,207000,6211000,65816000,502000,105000,68000,1292000,358000,7841000,2702000,422000,,,396069454.6,,11518329.89,375000,421000,649000,2223000,74000,66000,19520000,6380809.678,3242000,,4798000,395000,210000,613460.4652,370792863.9,180000,,5149000,17463000,,4161829.071,,30000,,5894000,13800,7500,387000,28000,,,15729426.66,,15870240.9,17067407.05,4800,61000,814000,974000,2388000,269000,439000,130000,891000,93000,,48148489.77,71079070,92000,7294000,2100,257000,40582294.47,,15489456.75,26000,4161829.071,15870240.9,324000,4263000,9040000,1000,347000,175000,7558000,121416806.1,2316000,47767000,960000,65000,814000,244000,393000,1716000,50000,595103445.7,68000,,80000,4976000,341000,1336000
1998,647000,,52000,,,28265206.56,2991000,3012000,32000,36000,234000,4167000,17352000,,15000,6179000,152000,160000,172000,2667000,2898000,1528000,148000,355000,176000,370000,387000,4818000,512000,,6200,750000,7500,18870000,49451852.2,7185000,,1759000,25073000,,,53000,,674000,27000,52000,943000,4724000,1390000,199000,404000,2223000,5482000,16511000,21000,66000,2073000,2309000,678000,49142093.54,82145111.8,84590103.35,43187316.98,352983222.3,511000,3213000,229558000,188000,41892000,825000,112000,302543694.6,7424277.373,1867000,371000,70109000,,13400,195000,23710000,,348000,,23000,91000,,,10916000,116000,,,1137000,66000,436856671.1,7137000,321000,5961808.57,4499000,147000,,180477544.8,198638814.1,16582886.27,7022671.701,4606000,9343450.485,,2359000,,6064000,1124000,45000,232000,1942000,34933000,1225000,1772000,4106000,257000,792000,59000,287000,5700,93000,4250000,1763000,39705794.97,200000,631000,,32000,252000,52718584.23,6088937.321,5318278.492,,381000,39019454.52,171747746.8,290000,126432858.2,1416000,789000,576000,4517000,,3095000,278000,,121000,396000,31177867.49,19392000,6400,164518264.5,157000,83000,1182000,478000,17170333.02,,165000,481000,,,558000,220000,5551000,65617000,614000,104000,41000,1357000,406000,9312000,3256000,464000,,1475000,409096457.5,,12664400.91,429000,431000,726000,2149000,64000,67000,18780000,6307240.903,3396000,,5539000,350000,200000,627103.905,383191797.8,189000,,4831000,16188000,,4280668.704,,36000,,5122000,15800,12900,542000,36000,,,17697213.78,,17834852.48,18204806.42,5600,55000,896000,977000,2573000,284000,458000,128000,1267000,111000,,48569689.35,67173989.62,69000,7843000,3200,300000,43345492.7,,16965998.98,27000,4280668.704,17834852.48,334000,4718000,8960000,1000,450000,195000,6208000,125803212.2,2163000,46377000,811000,67000,685000,279000,422000,1520000,52000,613237036.4,78000,,88000,5732000,362000,2090000
1999,683000,,45000,,2347000,32442075.63,3393000,2898000,41000,41000,232000,4459000,17467000,,26000,6369000,80000,117000,173000,2472000,3280000,1577000,147000,74900,181000,355000,342000,5107000,515000,,7200,843000,10000,19411000,48107743.39,7154000,,1632000,27047000,,,80000,,546000,24000,67000,1032000,4858000,1561000,198000,395000,2434000,5610000,17116000,21000,74000,2023000,2649000,749000,54923563.96,83127409.41,93433363.43,41427173.84,361271030.1,518000,4490000,240992000,57000,45440000,950000,115000,312662663.4,7935532.362,1831000,410000,73147000,,16100,178000,23341000,,373000,,27000,96000,,,12164000,125000,,,1162000,75000,453807190.2,7837000,371000,6107835.792,3805000,143000,,185996068.5,204742956.3,17123676.8,7076651.544,4728000,9850750.023,,2482000,,6403000,,30000,263000,2312000,36516000,1248000,1790000,4438000,394000,862000,48000,368000,5100,84000,4660000,1884000,40057264.63,259000,673000,,178000,264000,52651161.32,6226486.855,5419608.433,,436000,40146838.29,179985696.8,308000,136449305,1422000,863000,544000,5050000,,3817000,278000,,138000,430000,35726010.58,19043000,4600,172527707.6,181000,82000,1214000,435000,19963780.6,,155000,493000,,24000,578000,254000,7931000,68455000,635000,100000,39000,1425000,468000,9874000,3223000,492000,,1596000,421238417.3,,13798292.14,432000,457000,694000,2171000,55000,67000,17950000,6468233.213,3024000,,5379000,269000,300000,668065.9063,396596215.3,211000,,5224000,18820000,,4529947.045,,39000,,5604000,,10600,658000,34000,,,18417494.25,,18551388.68,19492280.15,5800,57000,975000,884000,2595000,289000,445000,125000,1386000,121000,,54266519.06,63832053.39,70000,8651000,4500,,43338312.9,,19652645.61,31000,4529947.045,18551388.68,358000,4832000,6893000,1100,564000,189000,4232000,132712307.8,2073000,48689000,487000,68000,587000,284000,484000,1782000,51000,638602226.9,85000,,58000,5890000,404000,2250000
2000,721000,,51000,,2949000,36338661.48,3907000,2909000,45000,44000,207000,4931000,17982000,,29000,6457000,96000,126000,199000,2785000,3869000,1544000,171000,60000,196000,332000,319000,5313000,545000,,7600,1104000,11200,19627000,49523103.25,7821000,,1742000,31229000,,,103000,,557000,24000,115000,1088000,4991000,1741000,191000,354000,2686000,4773000,18983000,20100,70000,3535000,2978000,866000,62845010.82,91314114.46,105029882,50736778.76,389836572.5,627000,5116000,255220000,70000,46403000,1220000,136000,331006186.9,8667207.878,1971000,294000,77190000,,20500,155000,23212000,,399000,,33000,79000,,,13096000,129000,,,1287000,105000,481428719.8,8814000,471000,6379285.519,5831000,140000,,209269798,229172408.6,17943351.95,6752772.487,5064000,11086948.92,,2649000,,6646000,,78000,303000,2417000,41181000,1323000,1580000,4757000,1683000,899000,59000,466000,4800,73000,5322000,1944000,43004676.89,191000,742000,,174000,270000,55998810.83,6312947.89,6334396.355,,400000,44610423.44,203184549,302000,150586855.9,1083000,852000,509000,5197000,,4278000,300000,,160000,467000,39651559.77,20641000,5200,194598994.9,224000,86000,1216000,416000,22220219.47,,154000,517000,,30000,656000,228000,10222000,71197000,656000,110000,50000,1492000,486000,10003000,3104000,464000,,1780000,446452329,,15623854.67,557000,484000,800000,1992000,58000,58000,17400000,6710002.83,3341000,,5599000,289000,310000,572454.1063,423616716.5,252000,,5264000,21169000,104000,4826435.65,6585000,38000,,6062000,5200,15800,795000,43000,,,18696922.84,,18836376.68,21292332.03,7100,57000,1053000,1090000,3828000,281000,432000,130000,2100000,152000,,62091182.79,74591936.9,60000,9579000,7700,3400,46133307.4,,21899986.25,35000,4826435.65,18836376.68,399000,5058000,9586000,1100,459000,193000,6431000,150373464.4,1968000,51238000,302000,73000,469000,272000,546000,2140000,58000,689646049.5,88000,,73000,5872000,457000,1967000
2001,691000,,67000,,3516000,37120451.62,4134000,2620000,123000,36000,215000,4856000,18180000,,36000,6452000,88000,128000,207000,3186000,4388000,1538000,139000,61000,196000,278000,316000,4773000,507000,,6400,1193000,9900,19679000,49142695.1,7455000,,1723000,33167000,,,55000,,616000,19400,134000,1131000,4850000,1736000,205000,334000,2697000,5405000,17861000,21600,66000,3684000,2882000,901000,68283607.05,90311820.91,110822017.9,56528445.84,390893382.8,641000,4357000,253457000,113000,48565000,1320000,148000,326332887.3,9003411.467,1999000,348000,75202000,,15300,169000,20982000,,439000,,38000,57000,7800,,14057000,123000,,,1159000,99000,472685555,8878000,518000,6707558.935,6544000,142000,,216464202.6,237469055.7,19022880.64,7291512.487,5153000,11602339.21,,2537000,,6353000,,127000,301000,1196000,39563000,1277000,1672000,4772000,2693000,841000,99000,605000,4600,71000,5147000,2072000,41418952.65,173000,837000,,169000,250000,54473622.94,6628550.725,6468997.517,,337000,47573646.7,213093329.9,295000,154896152.1,1271000,836000,591000,5842000,,4380000,270000,,170000,461000,39186060.87,19810000,5400,204226095.3,99000,89000,1180000,475000,21966913.48,,187000,438000,323000,,660000,266000,12775000,66884000,670000,101000,52000,1753000,483000,9500000,3073000,361000,,1900000,435269965.8,,16444936.2,500000,519000,901000,1797000,54000,54000,15000000,7265332.539,3551000,,5392000,279000,43000,609766.0283,420069542.5,228000,,4938000,21595000,113000,4486399.645,6727000,50000,,5857000,,24100,735000,49000,,,19503940.28,,19643063.09,21964914.8,7500,54000,1219000,1219000,4108000,283000,403000,130000,2192000,166000,,67467332.02,78549701.5,57000,10133000,5200,5200,44484004.22,,21937603.67,32000,4486399.645,19643063.09,383000,5387000,10783000,1100,501000,205000,9174000,157044495.2,1892000,46927000,345000,71000,584000,296000,527000,2330000,53000,690513487.8,88000,,76000,5787000,492000,2217000
2002,643000,,91000,,3387000,41532534.59,5445000,2820000,162000,,218000,4841000,18611000,576000,74000,6720000,72000,150000,207000,3433000,4831000,1513000,160000,63000,200000,284000,334000,3785000,498000,,5600,1274000,2900,20057000,48587178.43,6868000,,1412000,36803000,,,28000,,567000,18900,126000,1113000,4844000,1656000,218000,303000,2418000,4743000,17969000,22500,69000,3436000,2811000,988000,73898460.69,96043689.06,119828659.6,63187395.3,402531248,683000,4906000,259072000,101000,50331000,1362000,156000,332175540.2,9831175.094,2043000,398000,77012000,,19100,208000,22307000,,483000,,43000,81000,,,14180000,132000,,,1059000,104000,478964737,10689000,550000,7417681.346,6944000,140000,,227651198.4,250317565,20635859.52,7508490.286,5033000,13035832.4,,2384000,,6476000,,,285000,861900,39799000,1266000,2384000,5239000,3678000,838000,140000,787000,4900,69000,5347000,2316000,40392291.27,215000,956000,,135000,253000,51873754.77,7384949.057,7430080.505,,393000,50040938.58,227554508.4,287000,160992769.6,1428000,885000,848000,6565000,,4453000,263000,,62000,485000,43196920.27,19667000,6000,217657731.4,123000,96000,1134000,487000,23792300.01,136000,229000,466000,541000,,682000,383000,13292000,63922000,757000,104000,39000,2046000,472000,9595000,3111000,275000,,2026000,439319565.6,,16887975.92,498000,534000,1064000,1933000,59000,54000,13980000,8254382.482,3087000,,5560000,250000,33000,672527.1143,427824518.6,189000,,4794000,23309000,,4321774.194,7511000,52000,,5855000,,28400,798000,46000,,312000,21121914.2,,21262755.63,22454168.34,9200,60000,1399000,1302000,4276000,256000,381000,132000,2661000,155000,,73015624.46,84485868.41,58000,10873000,,10800,42589562.08,,23775448.29,37000,4321774.194,21262755.63,384000,5064000,12790000,1300,550000,254000,10517000,168045747,1258000,43581000,332000,78000,432000,282000,520000,2628000,49000,711141538.3,89000,,98000,6430000,565000,2041000
2003,642000,,107000,,3138000,43474946.08,5871000,2995000,206000,,239000,4746000,19078000,768000,74000,6690000,175000,163000,245000,4048000,4844000,1510000,165000,64000,221000,257000,427000,4133000,531000,,6300,1406000,5700,17534000,51363554.12,6530000,,1614000,32970000,,,35000,,625000,20600,150000,1239000,5105000,1847000,221000,294000,2303000,5076000,18399000,23200,73000,3474000,3282000,1166000,65681092.65,98176232.48,107623996.5,66264751.75,405117127.1,761000,5746000,257998000,80000,50854000,1462000,180000,333605092.7,10219496.06,2047000,431000,75048000,,18200,222000,22787000,,531000,,44000,89000,,,13969000,142000,,,910000,101000,470957479.8,9676000,611000,7895635.26,7409000,136000,,225841241.7,249485011.9,21752306,8019711.15,4467000,13621915,,2726000,,6764000,,,317000,1063000,39604000,1350000,2353000,5212000,3237000,927000,,701000,4900,91000,4753000,2602000,41141476.6,196000,1016000,,142000,277000,53341735.34,7778383.879,7813984.177,,501000,53624793.04,226226869.2,329000,155800390.7,1491000,867000,971000,6309000,,4761000,235000,,139000,564000,45318135.09,18665000,7200,216039209.3,158000,110000,1127000,597000,25338983.15,142000,201000,452000,441000,,702000,424000,10577000,59009000,695000,102000,55000,2253000,526000,9181000,3269000,338000,,2086000,433085352.2,,17444751.7,501000,566000,1136000,1907000,63000,56000,13720000,8774709.92,3238000,,5383000,268000,37000,717544.7592,422280144.6,213000,,5595000,22521000,,4966540.252,7332000,52000,,4703000,6600,38100,720000,41000,,339000,22382513.32,,22511769.48,23333040.84,10000,82000,1387000,1373000,4268000,461000,428000,122000,2598000,164000,,64906989.46,87754768.92,61000,10082000,,8200,43617299.51,,25319000.76,40000,4966540.252,22511769.48,409000,5114000,13341000,1400,552000,305000,12514000,162810402.6,1420000,41218000,231000,79000,337000,278000,538000,2429000,50000,701698868.6,92000,,155000,6505000,413000,2256000
2004,728000,,194000,,2791000,51734736.07,6195000,3457000,263000,,246000,5215000,19374000,989000,133000,6710000,174000,222000,271000,4630000,5667000,1561000,190000,67000,231000,272000,480000,4794000,552000,119000,9200,1523000,8200,19145000,56785879.85,,,1785000,41761000,,,36000,,791000,23300,157000,1453000,5425000,2017000,223000,260000,2349000,6061000,20137000,26300,80000,4421000,3450000,1234000,84046164.1,114699666.2,137711392.5,75925144.25,423368713,819000,7795000,259716000,87000,52430000,1750000,184000,343487516.8,11466459.23,2083000,504000,74433000,,19300,244000,25678000,,584000,,45000,90000,,,13313000,134000,,,1160000,122000,502600533.9,13655000,641000,9024886.488,7912000,96000,,265149582,292706095.5,25314537.54,8709806.395,5321000,16559749.07,,3457000,,6953000,,,360000,1505600,37071000,1415000,2853000,6138000,4291000,1199000,,1055000,3400,118000,5818000,3056000,46073356.46,407000,1278000,,,298000,59435335.99,9583617.342,9624446.16,,566000,64997920.19,268118732.9,304000,180439169.3,1800000,878000,1079000,8324000,,5477000,250000,69000,229000,617000,53985111.44,20618000,9000,255747766.9,165000,113000,1156000,657000,31319390.03,188000,301000,525000,470000,,719000,427000,15703000,65503000,716000,100000,57000,2646000,615000,9646000,3628000,385000,,2325000,457010277.2,,19179585.68,648000,621000,1350000,2291000,89000,59000,14290000,10607219.73,3541000,,5654000,309000,56000,835377.6029,451443731.3,212000,,6600000,22064000,,6057158.426,8599000,61000,,6553000,5600,43600,951000,42000,,392000,23899594.58,,24027247.08,25495235.51,10600,138000,1401000,1499000,4676000,459000,475000,121000,3399000,173000,,83063999.98,98462641.44,83000,11737000,,14800,49011382.47,,31283355.42,41000,6057158.426,24027247.08,443000,5998000,16826000,1300,566000,512000,15629000,191205628.7,1756000,46086000,262000,87000,486000,304000,563000,2928000,61000,775453106.3,98000,,274000,6678000,515000,1854000
